"trip_id","start_time","end_time","duration_sec","bike_id","start_station_id","end_station_id","user_id","time_id"
2,"2023-01-02 11:15:00","2023-01-02 11:45:00",1800,"B002",2,3,2,2
3,"2023-01-03 12:05:00","2023-01-03 12:50:00",2700,"B003",3,1,3,3
5,"2000-01-01 00:00:00","2000-01-01 00:01:00",60,"BIKE-20251004130225",1,2,1,NULL
8,"2025-01-10 00:00:00","2025-01-10 01:00:00",3600,"BIKE-20251004211819",6,3,10,4
1309,"2023-01-01 10:00:00","2023-01-01 10:30:00",1800,"B001",1,2,1,1
1310,"2023-01-02 11:15:00","2023-01-02 11:45:00",1800,"B002",2,3,2,2
1311,"2023-01-03 12:05:00","2023-01-03 12:50:00",2700,"B003",3,4,3,3
1312,"2023-01-04 13:10:00","2023-01-04 13:40:00",1800,"B004",4,5,1,4
1313,"2023-01-05 14:00:00","2023-01-05 14:35:00",2100,"B005",5,6,1,5
1314,"2023-01-06 15:20:00","2023-01-06 15:55:00",2100,"B006",6,7,6,6
1315,"2023-01-07 16:30:00","2023-01-07 17:00:00",1800,"B007",7,2,3,7
1316,"2023-01-08 10:05:00","2023-01-08 10:40:00",2100,"B008",3,4,2,2
1317,"2023-01-09 11:15:00","2023-01-09 11:50:00",2100,"B009",4,10,2,9
1318,"2023-01-10 12:25:00","2023-01-10 13:00:00",2100,"B010",10,1,10,10
1319,"2023-01-11 13:00:00","2023-01-11 13:35:00",2100,"B011",2,3,3,3
1320,"2023-01-12 14:10:00","2023-01-12 14:45:00",2100,"B012",3,10,1,1
1321,"2023-01-13 15:20:00","2023-01-13 15:55:00",2100,"B013",10,14,3,13
1322,"2023-01-14 16:30:00","2023-01-14 17:05:00",2100,"B014",14,15,18,14
1323,"2023-01-15 10:10:00","2023-01-15 10:45:00",2100,"B015",15,16,18,15
1324,"2023-01-16 11:20:00","2023-01-16 11:55:00",2100,"B016",16,17,19,16
1325,"2023-01-17 12:30:00","2023-01-17 13:05:00",2100,"B017",17,18,19,17
1326,"2023-01-18 13:40:00","2023-01-18 14:15:00",2100,"B018",18,19,18,18
1327,"2023-01-19 14:50:00","2023-01-19 15:25:00",2100,"B019",19,20,19,19
1328,"2023-01-20 16:00:00","2023-01-20 16:35:00",2100,"B020",20,21,20,20
1329,"2023-01-21 10:05:00","2023-01-21 10:40:00",2100,"B021",21,22,21,21
1330,"2023-01-22 11:15:00","2023-01-22 11:50:00",2100,"B022",22,23,22,22
1331,"2023-01-23 12:25:00","2023-01-23 13:00:00",2100,"B023",23,24,23,23
1332,"2023-01-24 13:00:00","2023-01-24 13:35:00",2100,"B024",24,25,24,24
1333,"2023-01-25 14:10:00","2023-01-25 14:45:00",2100,"B025",25,26,25,25
1334,"2023-01-26 15:20:00","2023-01-26 15:55:00",2100,"B026",26,27,26,26
1335,"2023-01-27 16:30:00","2023-01-27 17:05:00",2100,"B027",27,28,27,27
1336,"2023-01-28 10:10:00","2023-01-28 10:45:00",2100,"B028",28,29,28,28
1337,"2023-01-29 11:20:00","2023-01-29 11:55:00",2100,"B029",29,30,29,29
1338,"2023-01-30 12:30:00","2023-01-30 13:05:00",2100,"B030",30,31,30,30
1339,"2023-01-31 13:40:00","2023-01-31 14:15:00",2100,"B031",31,32,31,31
1340,"2023-02-01 14:50:00","2023-02-01 15:25:00",2100,"B032",32,33,32,32
1341,"2023-02-02 16:00:00","2023-02-02 16:35:00",2100,"B033",33,34,33,33
1342,"2023-02-03 10:05:00","2023-02-03 10:40:00",2100,"B034",34,35,34,34
1343,"2023-02-04 11:15:00","2023-02-04 11:50:00",2100,"B035",35,36,35,35
1344,"2023-02-05 12:25:00","2023-02-05 13:00:00",2100,"B036",36,37,36,36
1345,"2023-02-06 13:00:00","2023-02-06 13:35:00",2100,"B037",37,38,37,37
1346,"2023-02-07 14:10:00","2023-02-07 14:45:00",2100,"B038",38,39,38,38
1347,"2023-02-08 15:20:00","2023-02-08 15:55:00",2100,"B039",39,40,39,39
1348,"2023-02-09 16:30:00","2023-02-09 17:05:00",2100,"B040",40,41,40,40
1349,"2023-02-10 10:10:00","2023-02-10 10:45:00",2100,"B041",41,42,41,41
1350,"2023-02-11 11:20:00","2023-02-11 11:55:00",2100,"B042",42,43,42,42
1351,"2023-02-12 12:30:00","2023-02-12 13:05:00",2100,"B043",43,44,43,43
1352,"2023-02-13 13:40:00","2023-02-13 14:15:00",2100,"B044",44,45,44,44
1353,"2023-02-14 14:50:00","2023-02-14 15:25:00",2100,"B045",45,46,45,45
1354,"2023-02-15 16:00:00","2023-02-15 16:35:00",2100,"B046",46,47,46,46
1355,"2023-02-16 10:05:00","2023-02-16 10:40:00",2100,"B047",47,48,47,47
1356,"2023-02-17 11:15:00","2023-02-17 11:50:00",2100,"B048",48,49,48,48
1357,"2023-02-18 12:25:00","2023-02-18 13:00:00",2100,"B049",49,50,49,49
1358,"2023-02-19 13:00:00","2023-02-19 13:35:00",2100,"B050",50,1,50,50
